trial_id,condition,topic,difficulty,question_type,question_text,latency_seconds,parse_success,empty_output,validation_retries_used,predicted_level,level_match,level_confidence,queries_fired,total_retrieved,unique_after_dedup,selected_by_mmr,avg_relevance_score,validator_decision,validator_overall_score,validator_failure_count,failed_validators,validator_details
filesystem_apply_A_2,A,file systems,apply,mcq,Describe how the file system abstracts secondary storage and represent open files.,8.271639823913574,True,False,0,easy,False,0.5367595553398132,1,0,0,0,0.0,flag,0.5402572393417359,2,"V2,V3","BM25 normalised score: 0.000 (threshold 0.1) | Near-duplicate options with same polarity (sim=0.940): 'A named, hierarchical collecti...' ~ 'A flat collection of files; a ...'"
filesystem_apply_B_0,B,file systems,apply,mcq,How does the file descriptor (fd) represent an open file in a system's file hierarchy?,7.610856771469116,True,False,0,easy,False,0.6822561621665955,1,0,0,0,0.0,flag,0.6041653394699097,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_apply_B_1,B,file systems,apply,mcq,"An inode stores metadata for a file, including pointers to data blocks. Which of the following types of pointers are used by an inode to reference data blocks?",7.644849538803101,True,False,0,easy,False,0.7012345194816589,1,0,0,0,0.0,flag,0.633739560842514,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_apply_B_2,B,file systems,apply,mcq,"In a file system, what is the role of the inode and what type of information does it store?",6.754737615585327,True,False,0,easy,False,0.839455783367157,1,0,0,0,0.0,flag,0.5553966760635376,2,"V2,V3",BM25 normalised score: 0.000 (threshold 0.1) | Near-duplicate options with same polarity (sim=0.857): 'The inode is an index into the...' ~ 'The inode is a directory entry...'
filesystem_apply_C_0,C,file systems,apply,mcq,How does the lseek() function behave with respect to regular files and non-seekable streams?,15.540330410003662,True,False,0,medium,True,0.49352824687957764,1,0,0,0,0.0,flag,0.517,2,"V2,V3",BM25 normalised score: 0.000 (threshold 0.1) | Near-duplicate options with same polarity (sim=0.998): 'lseek() succeeds on regular fi...' ~ 'lseek() succeeds on pipes and ...'
filesystem_apply_C_1,C,file systems,apply,mcq,How does the lseek() system call handle file repositioning on different types of files?,14.943123817443848,True,False,0,easy,False,0.505278468132019,1,0,0,0,0.0,flag,0.522,2,"V2,V3",BM25 normalised score: 0.000 (threshold 0.1) | Near-duplicate options with same polarity (sim=0.990): 'It fails on regular files and ...' ~ 'It succeeds on regular files a...'
filesystem_apply_C_2,C,file systems,apply,mcq,Describe the purpose of an inode in a file system.,14.790628671646118,True,False,0,easy,False,0.7273722887039185,1,0,0,0,0.0,flag,0.577,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_evaluate_A_0,A,file systems,evaluate,mcq,Describe how a file offset is updated when the lseek() system call is used on a regular file.,0.583099365234375,True,False,0,medium,False,0.5357324481010437,1,0,0,0,0.0,flag,0.5341629385948181,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_evaluate_A_1,A,file systems,evaluate,mcq,How does the kernel store metadata for each file in a file system?,0.44966983795166016,True,False,0,easy,False,0.689972996711731,1,0,0,0,0.0,flag,0.5855413556098938,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_evaluate_A_2,A,file systems,evaluate,mcq,Explain how an inode stores metadata for a file.,0.5038039684295654,True,False,0,easy,False,0.6257556676864624,1,0,0,0,0.0,flag,0.5580949783325195,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_evaluate_B_0,B,file systems,evaluate,mcq,Describe the metadata that is stored in an inode and its significance in a file system.,0.5170879364013672,True,False,0,easy,False,0.5449698567390442,1,0,0,0,0.0,flag,0.5210689783096314,2,"V2,V3",BM25 normalised score: 0.000 (threshold 0.1) | Near-duplicate options with same polarity (sim=0.942): 'Inodes store metadata such as ...' ~ 'Inodes do not store metadata s...'
filesystem_evaluate_B_1,B,file systems,evaluate,mcq,Explain how the inode represents file metadata in a file system.,0.5155744552612305,True,False,0,easy,False,0.6050743460655212,1,0,0,0,0.0,flag,0.5640271425247192,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_evaluate_B_2,B,file systems,evaluate,mcq,Describe the key components stored in an inode within a file system.,7.091954469680786,True,False,0,easy,False,0.5859125852584839,1,0,0,0,0.0,flag,0.5680452823638916,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_evaluate_C_0,C,file systems,evaluate,mcq,Describe how the file system represents open files and stores file metadata.,14.434944152832031,True,False,0,easy,False,0.5210772156715393,1,0,0,0,0.0,flag,0.526,2,"V2,V3",BM25 normalised score: 0.000 (threshold 0.1) | Near-duplicate options with same polarity (sim=0.853): 'Each open file is represented ...' ~ 'Each open file is represented ...'
filesystem_evaluate_C_1,C,file systems,evaluate,mcq,"What is the purpose of the per-process open-file table in kernel memory, and what does each entry represent?",16.033060789108276,True,False,0,easy,False,0.8441779613494873,1,0,0,0,0.0,flag,0.57,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
filesystem_evaluate_C_2,C,file systems,evaluate,mcq,Describe how a file offset is repositioned in a file system using the lseek() system call.,10.281590938568115,True,False,0,medium,False,0.5484703183174133,1,0,0,0,0.0,flag,0.542,1,V2,BM25 normalised score: 0.000 (threshold 0.1)
