question,level,btl,source
(i) Storing documentation (ii) Gantry geometry (iii) Patient dosage 16 Examine several characteristics of Dual Energy Computed (16) CO 2,medium,3,srm
What is HR metrics?,easy,1,srm
Define reference architecture in the context of Hyperledger.,easy,2,srm
Explain about abstract class in Java with suitable example.,easy,2,devane
Explain high resolution of transmission electron,hard,6,srm
Express the mathematical model of a second-order transducer.,easy,2,srm
Explain the working of CC Configuration of NPN transistor.,medium,4,srm
mode? 4. State any two differences between a line-commutated and,medium,4,srm
What are the different types of muscle tissues?,easy,1,devane
synchronous motor with the different field excitation. (16) 9. Discuss about the Different Torques of a Synchronous Motor.,medium,3,srm
ii. Explain Atomic transactions and business activity model in (6) detail. 15 Explain about message exchange pattern.,hard,5,srm
transfer function using matrix algebra.,medium,3,srm
"A rectangular column of 240 mm Ã 150 mm is subjected to a vertical load of 110 kN, acting at an eccentricity of 60 mm in a plane bisecting150 mm side. Determine the maximum and minimum stresses.",medium,3,devane
What is RFID?,easy,1,srm
Illustrate the scheme of the formation of agglomerates CO2 from colloidal sols and structural model of Nanomer of,medium,3,srm
Write some examples of brachytherapy.,easy,2,srm
Classify transducers based on principle of operation. 4,easy,1,srm
Evaluate the effectiveness of using machine learning algorithms for predicting and preventing cyberattacks on IoT devices.,medium,3,devane
What is significance of Pressure measurement?,easy,1,devane
detail. 5. Explain Ultrasonic Doppler Shift Method of blood pressure,medium,4,srm
"8pf lag. Find the sending end voltage, current, power factor, efficiency and regulation using nominal π-method. (16) 2 A balanced three phase load of 30MW is supplied 132kV, 50Hz and 0.85 p.f",hard,6,srm
List various types of Spirometer.,easy,1,srm
"Draw a figure using the following coordinated in CAD Coordinates: A=(100,100), B=(105,100), C=(105,102), 15 3 D=(109,102),E=(109,104), F=(105,104), G=(105,106),",hard,5,srm
Explain the importance of low-power ROM technology.,easy,2,srm
hybrid analytics process for business intelligence.(13) 16,medium,4,srm
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,easy,2,devane
What is a register file in a processor?,easy,2,srm
Recall the characteristics of a notch filter in signal processing?,easy,1,devane
How to increase realism using illumination model. Explain in detail.,hard,6,srm
Write few advantages of quantum computing over classical computing.,easy,2,srm
Write the structure of PHP.,easy,1,srm
A cylindrical compressed air drum is 2 m in diameter with plates 12.,medium,3,devane
What is Hybrid Multi-biometric System?,easy,2,srm
Define frame buffer,easy,1,srm
"Compare the various types of malware (e.g., viruses, worms, Trojans) in terms of their propagation methods and malicious payloads.",easy,2,devane
(16) 10. With neat sketch explain the turn on and turn off characteristic of,medium,3,srm
Select the relevant case studies for your research project.,medium,4,devane
State the importance of homomorphic filtering in medical image CO 2,easy,2,srm
"Interpret the concept of network segmentation, discussing its role in reducing attack surface and containing security breaches.",easy,2,devane
world. A) Compare the Civil and Criminal A) jurisdictions in cyberspace with respect to 08,easy,2,srm
Mention any two applications of environmental sensors.,easy,2,srm
Show the condition for maximum voltage,easy,2,srm
What happens when a user opens a website in a browser?,easy,2,srm
context of building secure software. How does it affect the overall security of the application?,hard,5,srm
neat sketch. (13) 2. Explain MPPT techniques for WECS.,medium,4,srm
b Explain the impact of Business to Environmental Intelligence 06 6.a Explain about the Environmental factors influencing organization’s,medium,4,srm
Illustrate in detail the Anderson OTEC cycle. CO 1,medium,3,srm
"Why is the conduct of inspections crucial in ensuring Software Quality,",hard,5,srm
What is a humidifier in ventilator systems?,easy,1,srm
Revises and process to improve the outcome.,hard,6,devane
Summarize the main goals of computational learning Theory.,hard,5,srm
Explain with example K dimensional tree.,medium,4,devane
Discover the need of Function Point in Quality assessment and 5. explain the five major components and characteristics which play,medium,4,srm
Sketch ONE (1) movement to show repetition in shape and color.,easy,2,devane
List the different types of clocking strategies.,easy,1,srm
(i)Illustrate the storage organization memory in the (8) 1. perspective of compiler writer with neat diagram.,medium,3,srm
List the various methods to determine the voltage,easy,1,srm
virtual resources 15. Differentiate NFV and traditional networking.,easy,2,srm
Can you integrate biometric authentication into a mobile banking app?,hard,6,devane
Outline the advantages and disadvantages of membrane filters for,easy,2,srm
concept of line dropping and load rejection in a power system. (13) Interpret the need for simulation studies. Also describe the key points of 5 EMTP software and the steps involved to do a simulation study of a sample,medium,3,srm
What is lumped system analysis?,easy,2,srm
List the three stages through which PLL operates.,easy,1,srm
functions in Numpy. (16) 6. Explain broadcasting rules with examples,medium,4,srm
What is meant by self-organization in swarm systems?,easy,1,srm
1600 3200 237 25 y 308 8 582 874 111 5 z 62,hard,6,srm
neat sketch. 11.,medium,4,srm
Write a short note on CAP Theorem?,medium,4,srm
Give the examples of NP complete problems.,easy,1,srm
Mention two benefits of Desktop Virtualization.,easy,2,srm
electronics? 5. What is the function of a power adapter in a mobile device?,easy,2,srm
Summarize in detail about Corpus-based chatbots. 16,hard,5,srm
applications. 4 Differentiate various types of actuators used in IoT systems with examples.,medium,4,srm
What is a dynamometer type wattmeter? 2,easy,1,srm
Explain in brief sulfation of fatty alcohols and sulfonates.,medium,4,devane
radiation. (13) 10 State in detail the various universal precautions for microbiology,medium,4,srm
Calculate the equilibrium level of output for four sectors economy with taxes.,medium,3,devane
Deduce the desirable properties of insulator.,hard,5,srm
Describe consensus in asynchronous systems with failure.,medium,4,srm
Summarize the disadvantages in choosing phase variable for state space CO 5,easy,2,srm
Examine the configuration and functionality of GPIO pins in Arduino 8,medium,3,srm
Formulate an algorithm for automatically generating synthetic training data to augment limited datasets for training deep learning models.,hard,6,devane
"Devise a new method for improving the interpretability of deep learning models, allowing users to understand and trust model predictions more effectively.",hard,6,devane
Write the differences between drilling and tapping.,easy,1,srm
language model and Part-of-speech tagging as sequence labeling 3. Summarize on the process of Bidirectional RNNs. 16,medium,3,srm
Discuss the key problems and issues associated with managing,medium,4,srm
considerations? 16. Interpret about linking meters to monitoring,easy,2,srm
What is the role of ETL in data processing.,easy,2,srm
A Explain about restore considerations? 07,easy,2,srm
mH? 24. Define instantaneous value of a.c voltage.,easy,2,srm
(16) (i) What are the factors used to select a Digital Signal processor? CO 6 (6) 2 (ii) Write in detail about few applications of programmable digital,medium,3,srm
Level 1. What is the purpose of using an antenna?,easy,1,srm
"waveforms for RZ unipolar, NRZ polar, Manchester, RZ polar and NRZ line coding techniques. 16. For the sequence 11001001 sketch the waveforms for",medium,3,srm
Differentiate between absorption and digestion.,easy,2,srm
What do you mean by concrete mix design? What are the objectives in mix design?,easy,1,devane
Sketch the diagram of the flow tube showing the position of ultrasonic transducers used in a transit-time-based ultrasonic spirogram and,medium,4,srm
Difference between classification and regression algorithm.,easy,2,srm
List the energy savings opportunities in industrial,easy,1,srm
Outline Inter-Pulse Interval (IPI) in BAN.,easy,2,srm
Compare safety measures in different hospital departments.,easy,2,srm
"Evaluate the sustainability of different water supply sources (e.g., surface water, groundwater, rainwater harvesting) in meeting urban water demand while preserving water resources.",medium,4,devane
Write the biological effect of NMR imaging. CO 3,easy,2,srm
Explain seismic waves in detail.,easy,1,devane
Discuss TWO adverse consequences of using wetlands as recipients of irrigation wastewater.,easy,2,devane
Explain the working of Digital to analog converter.,medium,4,devane
Write Short notes on industrial robotic application of Light Curtains and Laser Area Scanner.,easy,1,devane
Construct a Venn diagram to determine the validity of the given argument.,medium,3,devane
3 $12 6. Explain briefly about Assignment Problem using Branch and Bound 16,hard,5,srm
Compare VSI and CSI for Induction motor drive.,medium,4,devane
Evaluate the benefits and drawbacks of artificial drainage.,hard,5,devane
What are the three steps in the implementation of CIM?,easy,2,srm
What is Shamir's secret sharing?,easy,1,srm
Q.N Questions CO BT Competence o Level 1. Write the importance of RF power density.,easy,2,srm
How does IoT support intelligent parking systems?,easy,2,srm
Illustrate the different methods employed in the linearization of,easy,2,srm
Justify the optimality of the detector based on the criteria?,hard,5,srm
inductance of a single-phase transmission line. (16) 2 Derive the inductance of a three-phase transmission line with symmetrical spacing.,medium,4,srm
Differentiate between normative and descriptive ethics.,easy,2,devane
Mention the steps carried to avoid fall prevention.,easy,1,srm
Define Software Testing Principles.,easy,1,srm
challenges in IoT systems. 15. Investigate the causes and consequences of,medium,4,srm
Analyse the bent shown in figure 4 by slope deflection method.,medium,4,devane
"Draw the ""onion model that represents Schein's Model of Organizational Culture.",easy,2,devane
An axial pull of 20 kN is suddenly applied on a steel rod 2.,medium,3,devane
Create a system for automatically generating personalized music playlists based on user preferences and listening habits using machine learning.,hard,6,devane
Describe the effect of riveting a thin cylindrical shell.,easy,2,srm
"multipath time delay spread and explain its features. 13. Consider free space propagation, a receiver is located 16",medium,3,srm
Outline the key components of a successful marketing strategy.,medium,4,devane
The forward path transfer function of a unity feedback control system is.,medium,3,devane
Give the importance of Document verification.,easy,1,srm
In Maxwell’s capacitance bridge for calculating unknown CO 03,easy,2,srm
Compare the maskable and non-maskable interrupt.,easy,2,srm
Determine the economic order quantity.,medium,3,devane
Write an algorithm to convert infix expression to postfix expression and convert following infix expression to postfix expression.,easy,1,devane
What do you understand by Integral Reset in PID controller?,easy,1,devane
"Compare the efficiency of different graph traversal algorithms (e.g., breadth-first search, depth-first search) for analyzing large-scale networks.",medium,4,devane
What is network device virtualization?,easy,2,srm
is driven at 4000 pps. Determine (a) Resolution (b) Motor speed (c) Number of pulses required to rotate the shaft through 540. 16 Summarize about the suppressor circuits for,medium,4,srm
The open loop transfer function of a unity feedback control system is given by.,easy,1,devane
Model a positive and negative relationship with an example.,medium,3,srm
Compare ACO with Simulated Annealing in terms of mechanism and,medium,4,srm
What is the impact of dark sides?,hard,6,srm
circuit. 7. Illustrate superposition theorem for the given network.,easy,2,srm
List some sources of fat.,easy,1,srm
Construct an analog circuit with the following specifications,medium,3,devane
Describe the pending behavior of interrupt inputs.,easy,1,srm
Find the âQâ point for a dual input balanced output differential amplifier with RC = RE = 65 k ï. supply voltage used is Â± 1s V .,medium,3,devane
contextual models like GPT. 17. Explain in detail about simplified view of a feedforward neural language 16,easy,2,srm
List the features of spread spectrum communication.,easy,2,srm
What is the role of the activation function in neural networks?,easy,1,srm
solution for a mid-sized enterprise.,medium,4,srm
system. 23. Discuss the role of transmission in an automobile.,easy,2,srm
Express the operation of NPN and PNP Transistor.,easy,2,srm
Define eye tracking.,easy,1,srm
reactance’s. 21. List the effect of harmonic components in induced,hard,6,srm
How does Hawaii contrast and compare to Florida?,medium,4,devane
Describe the construction of foil type strain gauges and explain their advantages over wire wound strain gauge.,medium,4,devane
What is the purpose of using mixture models in learning?,easy,2,srm
Predict the consequences of implementing renewable energy sources.,easy,2,devane
Examine the boundary scan architectures and explain how,medium,4,srm
What is the difference between deep learning and machine learning?,easy,1,srm
data. 7. What is Hadoop's role in the big data ecosystem?,easy,2,srm
Explain method overriding with a suitable example program.,easy,1,devane
(HRD) and how they are used to improve staff performance. 9. Describe different methods of training used in hospitals and,medium,3,srm
(ii)Write the differences between soft and hard magnetic materials.,medium,4,srm
gallbladder. 17 Summarize on some of the diseases and conditions of the,medium,3,srm
calculates the frequency of words for a given text. 9 Describe set and explain its operations with suitable examples.,easy,2,srm
electrodes and explain.,medium,4,srm
Evaluate ()C34 21zdzzz+ +ï²ï  where c is the circle 1z=.,medium,3,devane
The 45 mm diameter of shaft is made of steel with the yield strength of 400 MPa.,medium,3,devane
Define Emulation in virtualization.,easy,1,srm
Outline content distribution in IP networks.,easy,1,srm
specify complete relative gain array of a process? 7. What are the degrees of freedom with respect to multiloop,easy,1,srm
Examine the difference between internal grippers and external,medium,3,srm
Differentiate between Blockchain and Bitcoin.,easy,2,srm
Explain SCTP protocol in detail.,easy,1,devane
write operations. 12. Inspect the causes of data loss in DRAM cells and their,medium,3,srm
Define sprinkler system.,easy,1,srm
P a g e 5 | 13 How can eavesdropping attacks compromise the security of wireless 2 sensor networks?,easy,1,srm
Give examples of Healthcare-associated infections.,easy,2,srm
Discuss the various scenarios of deleting a node from binary search tree.,easy,1,devane
case of transformer differential protection? (13) 20. Discuss the coincidence principle used in phase,hard,6,srm
Explain the armature reaction and commutation,easy,2,srm
How do you create a captivating visual design for a gaming website?,hard,6,devane
Explain in detail of electro stimulation of camera capsule for diagnosing gastrointestinal disorders.,medium,3,srm
Compare centralized and distributed version control systems.,easy,2,srm
List the different approaches to attack the RSA algorithm,easy,2,srm
ii)Write a generalize note on polygon clipping algorithm (6) i),hard,6,srm
What is round-trip efficiency in hydro storage?,easy,2,srm
Write the N-map command to automatically test the specified,easy,2,srm
What is PHP?,easy,1,srm
developing strategies to combat cybercrime? 14 - What is the economic impact of cybercrime within each 13,hard,6,srm
clouds with suitable examples. 6,medium,4,srm
Assess the value of Maslow's hierarchy of needs in psychology.,hard,5,devane
What is a fact constellation schema?,easy,1,srm
Define the term pole pitch.,easy,1,srm
What is the purpose of model combination?,easy,1,srm
How does the ActionMapping component work in Struts?,easy,1,srm
imaging with a neat block diagram. 13 Describe ultrasound signal processing steps used for image (16) CO 5,medium,3,srm
(ii) Describe about screen,easy,2,srm
receiving channel? 11. List the earth station parameters affecting C/N ratio.,easy,1,srm
Compare two case studies highlighting successful Software Process,medium,3,srm
List the advantages of using a geosynthetic material in pavement design?,easy,1,devane
"You are leading a team of software engineers in developing a cutting-edge virtual reality (VR) application for immersive training simulations. Create a comprehensive project roadmap outlining the software development lifecycle, including requirements gathering, design, implementation, testing, and deployment phases, along with milestones and deliverables.",hard,6,devane
In the circuit shown in fig.,medium,4,devane
switching. (13) 5 Discuss the control of transients over voltages in the power system.,medium,4,srm
Mention the difference between core and shell type transformers.,easy,2,srm
protocol? 8.What are Distributed consensus in closed environment?,easy,1,srm
Explain the petroleum recovering technique : (i) Primary Recovery,medium,4,srm
Explain Tools and Techniques used in the Method Study.,medium,4,devane
Write the different operations performed on lathe machine.,easy,1,devane
communication process. 4 Write short notes on CO2,medium,3,srm
(i)Attributes of arrays and Indexing of arrays (8) (ii)Slicing of arrays and Reshaping of arrays(8) 13 Explain the following in python,medium,4,srm
How logic levels are degraded in pass transistor logic.,easy,2,srm
Define output offset voltage.,easy,1,srm
How the chi-square test is interpreted.,easy,2,srm
What is meant by multicore architecture?,easy,1,devane
"point at a distance b from it. If the acceleration be 𝛍 times the distance from the fixed point and is always directed towards the fixed point, find the amplitude of the SHM. 14. A particle is executing a Simple Harmonic Motion about the",medium,3,srm
Find the velocity and wavelength of the electron.,easy,2,devane
Infer the need of SQA plan.,easy,2,srm
"A steel fin (k = 54 W/mK) with a cross section of an equilateral triangle, 5 mm in side is 80 mm long. It is attached to a plane wall maintained at 400°C. The ambient air temperature is 50°C and unit",easy,2,srm
What is meant by Virtualization?,easy,1,srm
Explain various emission control systems used in IC engines. (16) 1,medium,3,srm
Describe work envelope,easy,2,srm
What is Cooja Simulator?,easy,1,srm
Mention about SOC and its methods.,medium,4,srm
What are security controls?,easy,1,srm
How does an optical crankshaft position sensor detect engine,easy,2,srm
"Compare the features and performance of different recommendation systems (e.g., collaborative filtering, content-based filtering, matrix factorization) in personalized recommendation tasks.",medium,4,devane
Differentiate between task programming and thread programming in Aneka.,easy,2,srm
Define Beer’s law.,easy,1,srm
Capacitive transducer are. (13) 11. Examine Capacitive transducer for the measurement of level in a non-,medium,3,srm
What is meant by inverse kinematics?,easy,1,srm
Illustrate the purpose of RTCP (RTP Control Protocol).,easy,2,srm
ii. 25 3. Build the rules for binary to octal conversion with an example.,medium,3,srm
ii. Explain future opportunities of food domain in additive 6 manufacturing. Explain the short note on 3D printing process in Defense and machine 13 14,medium,4,srm
Give the critical value for the F-test.,easy,1,srm
"Consider you're analyzing the fatigue life of a welded structure subjected to cyclic loading. Explain how you would apply fatigue analysis methods such as S-N curves, stress-life approach, and fracture mechanics to estimate fatigue damage and durability.",easy,2,devane
Differentiate between pitch and intensity.,easy,2,srm
Mention the primary characteristic of B-MAC.,easy,2,srm
List all possible test vectors for a 2-input NOR gate.,easy,2,srm
How could old storytelling techniques be combined to create a unique narrative structure?,hard,6,devane
"Invent a new approach for optimizing the design of urban public spaces to promote social interaction, community engagement, and physical activity.",hard,6,devane
Mention any two high frequency LC oscillator.,easy,2,srm
Explain theory of stadia tacheometry.,easy,2,devane
"Using the process approach in writing composition, describe the activities you would 
carry out to write a composition entitled 'A visit to a zoo in a Form 1 class.",easy,2,devane
State three types of resistance welding.,easy,1,devane
selecting sensors for IoT applications. 13.,medium,4,srm
(SRAM). 9. Describe the working of an SRAM memory cell.,easy,2,srm
State the limitations of single linked list. Represent following polynomial using linked list.,easy,1,devane
example. (16) 12 i. Explain standard quantifiers of first-order logic with,medium,4,srm
Bilinear transform method. The pulse transfer function for the sampled data control system is as shown in Fig. with the Sampling Time (T)= 1 Second. (13) 3 A discrete time system is represented by the differential equation,medium,3,srm
Define parametric method of system identification.,easy,1,srm
"algorithm. (16) = {1,1,2,2}, ℎ( ) = {1,2,3,4}. (15) 4 Determine the circular convolution of the following sequence x( ) CO 1",medium,3,srm
of Diesel-only vs. Diesel-PV hybrid systems. Describe the steps involved in the,medium,4,srm
Brief the features of Intel 8237A DMA Controller.,easy,1,devane
Define PDF and CDF.,easy,1,devane
Diodes. (16) 10. (i) Examine the construction and working principle of Zener diode,medium,4,srm
How Bitcoin Handles Double Spending?,easy,2,srm
"Consider you're designing a cellular network for urban deployment. Explain how you would plan cell site locations, configure base station antennas, and optimize radio frequency (RF) coverage to provide seamless mobile connectivity.",easy,2,devane
Plan a framework for implementing blockchain-based digital identity systems that provide users with control over their personal data and privacy.,hard,6,devane
Point out the importance of Infrared radiation CO 4,easy,1,srm
success? 21 Infer the Dans Z values for some food-borne pathogens.,easy,2,srm
How are templates linked with controllers in TurboGears?,easy,2,srm
Explain Nine distinct pattern recognition and machine learning algorithms 17,medium,4,srm
participation? 2. What is deletion anomaly? List the types of anomalies in,easy,1,srm
determining system performance. Discuss the impact of die area on chip cost and manufacturing yield in SoC 13,medium,4,srm
Define coulomb blockade.,easy,1,srm
Explore the classifications of power system transients?,hard,5,srm
Level A ROM has 2048 words. Find the number of address lines CO5 1.,easy,1,srm
Convert the following expression from Infix to Postfix expression.,easy,1,devane
What are major facts about particular cultures and societies,easy,1,devane
guided by Thomas. (16) (i) List the guidelines for developing quality assurance test cases. (8) 5.,medium,4,srm
An RF amplifier has the following S parameters:,medium,3,srm
Define gauge factor.,easy,1,srm
Explain the importance of a robot’s work envelope.,easy,2,srm
modules in PLC with justification. 2.,hard,6,srm
An air stream at 0°C is flowing along a heated plate at 90°C at a speed of 75 m/s. The plate is 45 cm long and 60 cm wide. Assuming the transition of boundary layer takes plate at Recr= 5 × 105.,hard,5,srm
- Summarize about purpose of Backup in detail 13,easy,2,srm
for implementing information security to protect the,medium,3,srm
measurement. 21 List the benefits of using a humidifier with mechanical ventilation.,easy,2,srm
Mention some examples of protein food.,easy,2,srm
Mention the types of microelectrodes. What are their applications?,easy,2,srm
electrical drive. 12 Solve a motor drives two loads. One has,hard,5,srm
Compare and contrast the relative advantages of object oriented and function,easy,2,srm
State the need for statutory clearance.,easy,2,srm
Write an explanatory note on rotary drum filter.,medium,4,devane
Name two detectors used in thermographic imaging systems. CO 4,easy,1,srm
Draw the connection diagram of star-delta starter used for 3-ph induction motor & explain its working,easy,1,devane
Define the processing gain of a satellite access.,easy,1,srm
Identify the importance of respiratory protection system.,easy,2,srm
What is a language model in QA?,easy,1,srm
Define variable data length on the stack.,easy,1,srm
List two differences between TurboGears 1.x and 2.x versions.,easy,1,srm
Restate the central message of the motivational speech.,easy,2,devane
Classify the cables used for three phase service.,medium,3,srm
Explain the Indian GI Act and its key provisions.,medium,3,srm
Explain the project planning activities.,medium,4,devane
Examine the Myer’s debugging principles.,medium,4,srm
Define Operating System.,easy,1,srm
Explain Different type of join with suitable example.,easy,1,devane
Draw and explain Ring Counter.,easy,1,devane
How does Mobile IP support seamless communication?,easy,1,srm
Demonstrate How to reverse the direction of rotation CO3 of DC Motor?,medium,3,srm
antenna reflectors. (ii),medium,4,srm
Examine the historical records to analyze the impact of a historical event.,medium,3,devane
Name two industrial applications of TES.,easy,1,srm
fuzzy sets 𝑨={𝟏𝟐+ 𝟎.𝟑𝟒+𝟎.𝟓𝟔+𝟎.𝟐𝟖} 𝑩={𝟎.𝟓𝟐+ 𝟎.𝟒𝟒+𝟎.𝟏𝟔+𝟏𝟖} (i)Explain with neat block diagram the various CO3 3 components of a fuzzy logic system.,easy,2,srm
𝐾 𝐺(𝑠) = 𝑠(1 + 0.2𝑠)(1 + 0.05𝑠) Sketch the polar plot and determine the value of K so that (16) (i) gain margin is 18 dB. (ii) phase margin is 600. 14. Sketch the polar plot of a unity feedback system with open loop transfer function CO 4,medium,3,srm
Write the expression that represents the pattern multiplication.,easy,1,srm
Describe about iterative and evolutionary development.,easy,2,srm
Mention the parameters that can be analyzed in Cooja simulation.,easy,2,srm
Name the basic modes of AFM operation.,easy,1,srm
Design a novel antenna array configuration for improving the coverage and capacity of 5G cellular networks in urban areas with high user density.,hard,6,devane
Can you generalize from historical technological innovations to predict future breakthroughs?,hard,6,devane
Describe the advantages of automotive Ethernet over traditional,easy,2,srm
Point out the significance of magnetic susceptibility CO 3,easy,2,srm
What is Zener effect?,easy,1,srm
Discuss the points to select a current transformer for,easy,1,srm
Evaluate the potential risks and benefits of using biometric authentication systems for access control in sensitive environments.,medium,3,devane
Specify about medication rights in detail.,medium,3,srm
"A transportation agency is analyzing the traffic flow dynamics of urban intersections for congestion mitigation. Critically assess the intersection design elements, including signal timings, lane configurations, and pedestrian crossings. Recommend traffic engineering solutions and intelligent transportation systems (ITS) technologies to optimize intersection performance and improve traffic flow efficiency.",hard,5,devane
Draw the block diagram of a coherent BFSK receiver.,easy,1,srm
What is orthographic projection?,easy,1,devane
techniques. 16. Explain the dynamic response of AC drives under vector (16) 5,medium,3,srm
different levels of missing data.(16) 17 Explain in detail about Data Frames with an example.,medium,4,srm
A financial institution is implementing a fraud detection system for identifying suspicious transactions in real-time. Analyze the differences between using rule-based fraud detection algorithms and machine learning-based anomaly detection models for fraud detection and prevention.,medium,4,devane
Synchronous reluctance Motor. 4. Develop the voltage and torque characteristics,easy,2,srm
Name the applications of IoT in Smart Supply Chain.,easy,1,srm
Illustrate with a suitable example and explain knowledge extraction,medium,3,srm
Differentiate Enhancement and Depletion mode devices.,easy,2,srm
thermal power plant with the functions of each unit. 12. Explain the applications of cogeneration in power plant.,medium,3,srm
Define precision and recall.,easy,1,srm
received power in unit of dBW. (13) Describe the noise temperature of absorptive networks and CO3 7. derive the expression for overall system noise temperature at,medium,4,srm
Explain southbound interface using OpenFlow protocol.,medium,3,srm
Locate the list of application of Isolation Amplifier.,easy,2,srm
Explain streaming data.,easy,2,srm
Discuss the differences between a stick diagram and an actual layout.,easy,2,devane
Write the differentiation and integration property of Laplace transform.,easy,1,srm
Explain four-point starter with neat diagram.,medium,3,srm
What is a null hypothesis (H₀)?,easy,1,srm
Define an electrical drive.,easy,1,srm
Categorize the four stages of medication?,easy,2,srm
Explain effective modular design with neat diagram.,medium,4,devane
Describe the role of robots in inspection tasks.,easy,2,srm
Draw and explain IPV4 header format.,easy,1,devane
In a linear system Show that field energy and co CO1 energy are equal.,medium,3,srm
What is a throttle angle sensor?,easy,1,srm
Draw and explain in detail Pool boiling curve with significance of each point in the pool boiling.,medium,4,devane
"Calculate the surface tension of a wetting liquid, C (1.23 gml-l ) which rises 1.50 m in a vertical capillary tube with the internal radius of 0.15 mm.",medium,3,devane
example. (16) 6 Explain alpha beta pruning in detail with an example.,medium,3,srm
Prepare a table with various cellular organelles in a yeast cell.,easy,2,srm
analysis in detail. 5.,medium,4,srm
(FMS). 25 What is the bottleneck model in FMS analysis?,easy,2,srm
(ii) Explain the working principle of single ended amplifier.,medium,3,srm
Assess the effectiveness of OSINT-based profiling when compared to direct interaction with targets in social engineering operations.,hard,5,srm
Mention the purpose of tessellation in STL files.,easy,2,srm
Mention the limitations of slope detector?,easy,2,srm
"h = 0,1,2,3 ""b c! f =! g j d #e 0 h = 4,5,6,7 (16) "" ; = 1 + 5; ]# + 6; ] 1 + ; ]# 14 Draw the different FIR structures for the H(z) given below CO 4",medium,4,srm
Compare and contrast animals that the class has made.,medium,4,devane
