chunk_id,bloom_level,condition,question
deadlock,apply,icl,Suppose a resource-allocation graph has a cycle with a single-instance resource. What can be concluded about the system state?
memory_paging,apply,baseline,What is the effect of increasing the number of frames on the FIFO page replacement algorithm?
memory_paging,apply,baseline,"Calculate the Effective Access Time (EAT) given a fault rate p, memory access time, and fault service time."
memory_paging,apply,baseline,What are the trade-offs between larger and smaller page sizes in virtual memory systems?
memory_paging,apply,icl,"Consider a demand-paged virtual memory system with a main memory of 4 page frames. The virtual page reference string is 1, 2, 3, 1, 2, 3, 4. Using LRU and FIFO page replacement policies, calculate the number of page faults for each policy."
memory_paging,apply,icl,A 32-bit virtual address is used with 4KB page size. Calculate the number of bits required for the offset and the virtual page number.
memory_paging,apply,icl,"Suppose a system uses a page table with 2^20 entries, each entry of size 4 bytes. Calculate the total size of the page table."
threads,apply,baseline,Compare the blocking behavior of user-level threads and kernel-level threads during a blocking system call.
threads,apply,baseline,What are the benefits of using Lightweight Processes (LWPs) in thread management?
threads,apply,baseline,How does the one-to-one thread model differ from the many-to-one model in terms of parallelism and kernel overhead?
threads,apply,icl,"In a many-to-one threading model, what happens when one user thread makes a blocking I/O call, and how does this affect the other user threads?"
threads,apply,icl,"On a dual-core system with one-to-one threading, a process has 2 kernel threads: T1 (running) and T2 (running). What happens when T1 makes a blocking I/O call?"
threads,apply,icl,"Compare the creation cost of a thread versus a process. How much faster is thread creation, and why?"
synchronization,apply,baseline,What are the three necessary conditions that a correct critical section solution must provide?
synchronization,apply,baseline,Describe a scenario where priority inversion occurs and how it can be addressed.
synchronization,apply,baseline,Compare the trade-offs between using a spinlock and a blocking semaphore for synchronizing access to a critical section.
synchronization,apply,icl,"Given two processes P1 and P2, and two semaphores S1=1 and S2=1, show a sequence of wait and signal operations that leads to a deadlock situation."
synchronization,apply,icl,"Using a binary semaphore, illustrate how mutual exclusion can be achieved among three processes. Provide a simple example to demonstrate this."
synchronization,apply,icl,Compare the use of spinlocks and blocking semaphores in terms of CPU utilization and context switch overhead. When would one be preferred over the other?
filesystem,apply,baseline,Describe the main advantage of contiguous allocation in file systems.
filesystem,apply,baseline,What is the purpose of an inode in a file system?
filesystem,apply,baseline,Compare internal fragmentation for contiguous and linked allocation.
filesystem,apply,icl,"A file system uses a Unix inode with 12 direct pointers, a single indirect pointer, and a double indirect pointer. If each block is 4KB and each pointer is 4B, what is the maximum file size?"
filesystem,apply,icl,Compare contiguous and linked file allocation for a workload that requires frequent sequential access to large files.
filesystem,apply,icl,A file system uses 4KB blocks and has a file of size 1KB. What is the internal fragmentation for this file?
