chunk_id,bloom_level,condition,question
filesystem,remember,baseline,What is the difference between a hard link and a symbolic link in a file system?
filesystem,remember,icl,What information does an inode store about a file?
filesystem,remember,icl,Why does lseek() fail on pipes and sockets?
filesystem,remember,icl,What is a hard link in a file system?
filesystem,apply,baseline,Describe the primary function of an inode in a file system.
filesystem,apply,baseline,Compare contiguous and linked allocation strategies in terms of fragmentation and access speed.
filesystem,apply,baseline,Distinguish between hard links and symbolic links in a file system.
filesystem,apply,icl,Compare contiguous and linked file allocation methods in terms of fragmentation and access time.
filesystem,apply,icl,"What information is stored in an inode, and what is its role in file system organization?"
filesystem,apply,icl,Describe a key advantage and disadvantage of indexed file allocation compared to linked allocation.
filesystem,evaluate,baseline,Describe the Unix hybrid inode allocation strategy for file systems.
filesystem,evaluate,baseline,What are the implications of contiguous allocation on file system behavior over time?
filesystem,evaluate,baseline,Compare the random access performance of indexed and linked allocation strategies.
filesystem,evaluate,icl,"Evaluate the trade-offs between contiguous, linked, and indexed file allocation methods for a file system that supports both sequential and random access patterns. Justify which method is most suitable for a workload with frequent sequential reads and occasional random writes."
filesystem,evaluate,icl,"Describe how the Unix inode design handles large files using direct, single-indirect, double-indirect, and triple-indirect pointers. What are the implications of this design on file system performance and storage efficiency?"
filesystem,evaluate,icl,Compare the effects of block size on disk throughput and internal fragmentation in a fixed block size file system. How do these trade-offs influence the choice of block size for a file system with a mix of small and large files?
